=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.22 16:42:51 =~=~=~=~=~=~=~=~=~=~=~=

Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
Gyro range set to: +- 500 deg/s
Filter bandwidth set to: 21 Hz

y_accel | z_accel | gyro_x | I_error | PID_PWM
-0.28 0.19 -0.02 0.61 -30.95
-0.33 0.20 -0.02 0.02 -15.33
-0.35 0.20 -0.02 0.02 -20.55
-0.37 0.18 -0.01 0.05 -25.88
-0.40 0.17 -0.01 0.04 -29.95
-0.42 0.17 -0.00 0.05 -34.28
-0.43 0.18 0.00 0.06 -38.41
-0.45 0.20 0.01 0.07 -41.82
-0.45 0.19 0.02 0.09 -45.66
-0.43 0.17 0.03 0.08 -47.84
-0.41 0.16 0.03 0.09 -49.52
-0.38 0.16 0.04 0.09 -51.49
-0.34 0.16 0.04 0.11 -53.50
-0.32 0.18 0.05 0.12 -54.70
-0.32 0.19 0.05 0.10 -55.26
-0.31 0.18 0.05 0.10 -56.43
-0.32 0.18 0.05 0.10 -57.72
-0.29 0.17 0.05 0.11 -58.52
-0.27 0.17 0.05 0.13 -60.07
-0.22 0.17 0.05 0.13 -60.28
-0.17 0.18 0.04 0.11 -59.72
-0.11 0.19 0.03 0.10 -59.77
-0.07 0.22 0.03 0.10 -59.40
-0.05 0.22 0.02 0.11 -60.30
-0.04 0.21 0.01 0.09 -59.71
-0.06 0.18 -0.00 0.09 -60.11
-0.10 0.20 -0.01 0.09 -61.38
-0.11 0.21 -0.02 0.09 -62.71
-0.15 0.19 -0.03 0.12 -65.78
-0.19 0.17 -0.03 0.09 -67.15
-0.23 0.16 -0.04 0.09 -69.75
-0.24 0.17 -0.04 0.09 -71.74
-0.26 0.16 -0.04 0.09 -73.83
-0.28 0.16 -0.04 0.12 -76.58
-0.29 0.17 -0.04 0.10 -78.05
-0.31 0.19 -0.04 0.10 -79.95
-0.30 0.17 -0.04 0.13 -82.26
-0.28 0.19 -0.04 0.11 -83.16
-0.25 0.18 -0.04 0.13 -85.23
-0.25 0.20 -0.04 0.11 -85.70
-0.25 0.19 -0.04 0.11 -87.06
-0.27 0.19 -0.04 0.11 -88.84
-0.27 0.18 -0.04 0.12 -90.33
-0.26 0.17 -0.04 0.17 -93.40
-0.28 0.20 -0.04 0.12 -93.17
-0.28 0.21 -0.05 0.12 -94.62
-0.31 0.22 -0.05 0.12 -96.33
-0.31 0.22 -0.04 0.15 -98.67
-0.32 0.19 -0.04 0.13 -99.55
-0.33 0.14 -0.05 0.13 -101.81
-0.35 0.16 -0.05 0.14 -103.98
-0.38 0.17 -0.04 0.14 -105.62
-0.40 0.15 -0.04 0.20 -108.42
-0.39 0.14 -0.03 0.15 -107.15
-0.39 0.16 -0.03 0.15 -108.23
-0.39 0.19 -0.02 0.15 -109.58
-0.42 0.19 -0.02 0.19 -111.81
-0.46 0.18 -0.01 0.16 -111.88
-0.53 0.20 -0.00 0.17 -112.87
-0.57 0.22 0.01 0.17 -113.98
-0.63 0.24 0.02 0.25 -117.93
-0.68 0.23 0.04 0.19 -116.19
-0.69 0.20 0.05 0.19 -116.75
-0.70 0.18 0.07 0.20 -115.72
-0.67 0.18 0.09 0.45 -123.67
-0.60 0.17 0.11 0.66 -128.16
-0.51 0.20 0.12 0.87 -131.93
-0.59 0.19 0.13 1.13 -140.28
-0.67 0.20 0.16 1.39 -144.78
-1.41 0.19 0.32 1.62 -122.35
-1.47 0.09 0.54 1.88 -82.81
-1.15 0.13 0.79 2.13 -26.92
-0.54 0.21 0.92 2.43 8.45
-0.34 0.02 0.98 2.65 29.30
0.05 0.08 1.02 2.85 49.00
0.41 0.13 1.01 3.04 64.50
0.45 0.21 0.98 3.16 74.66
0.64 0.29 0.92 3.27 76.70
0.57 0.23 0.85 3.33 77.07
0.76 0.27 0.76 3.35 74.29
1.00 0.28 0.62 3.33 61.47
1.11 0.22 0.51 3.28 53.96
1.02 0.17 0.40 3.18 49.07
0.93 0.19 0.30 3.06 41.13
0.90 0.20 0.22 2.93 37.09
0.88 0.27 0.14 2.79 31.56
0.74 0.28 0.05 2.63 22.07
0.64 0.27 -0.00 -0.20 112.16
0.62 0.23 -0.04 -0.17 105.67
0.54 0.20 -0.07 -0.18 100.03
0.44 0.18 -0.08 -0.35 104.42
0.33 0.17 -0.08 -0.60 111.84
0.40 0.19 -0.08 -0.78 118.49
0.70 0.18 -0.10 -0.96 124.39
0.57 0.26 -0.15 -1.15 119.28
0.56 0.29 -0.21 -1.37 112.24
0.90 0.22 -0.28 -1.57 106.59
1.23 0.28 -0.41 -1.78 87.30
1.54 0.18 -0.59 -2.01 59.24
1.46 0.30 -0.78 -2.36 28.02
0.89 0.24 -0.97 -2.60 -17.60
0.58 0.13 -1.07 -2.82 -46.18
0.18 0.14 -1.12 -3.03 -67.20
0.02 0.14 -1.14 -3.20 -83.05
0.13 0.11 -1.13 -3.38 -90.16
-0.14 0.19 -1.12 -3.51 -101.94
-0.59 0.24 -1.04 -3.59 -100.59
-0.90 0.20 -0.92 -3.65 -91.96
-1.17 0.09 -0.75 -3.65 -73.71
-1.16 0.06 -0.61 -3.61 -63.01
-1.07 0.08 -0.50 -3.54 -55.99
-0.97 0.16 -0.39 -3.44 -48.16
-0.93 0.21 -0.31 -3.29 -47.06
-0.82 0.24 -0.24 -3.15 -44.05
-0.61 0.17 -0.18 -3.00 -40.45
-0.78 0.10 -0.15 -2.80 -47.81
-1.04 0.12 -0.08 -2.61 -48.87
-1.09 0.16 0.02 -2.37 -42.65
-0.95 0.20 0.08 0.22 -125.84
-0.89 0.20 0.11 0.44 -131.79
-0.82 0.09 0.14 0.68 -136.14
-0.83 0.06 0.16 0.97 -145.93
-1.21 0.12 0.23 1.22 -145.92
-1.63 0.20 0.36 1.56 -136.43
-1.59 0.21 0.53 1.85 -110.38
-1.28 0.14 0.72 2.22 -75.04
-1.18 0.00 0.85 2.52 -52.97
-0.85 0.05 0.94 2.81 -31.95
-0.32 0.21 1.05 3.08 2.38
0.03 0.11 1.12 3.32 33.06
0.16 0.22 1.15 3.57 53.58
0.33 0.31 1.11 3.77 59.24
0.49 0.29 1.06 3.91 65.80
0.26 0.35 1.03 4.01 72.22
-0.06 0.25 1.02 4.11 79.42
-0.04 0.28 1.00 4.17 84.03
0.18 0.34 0.98 4.21 91.18
0.26 0.22 0.93 4.23 93.15
0.74 0.19 0.86 4.21 93.95
0.90 0.22 0.72 4.14 82.13
0.71 0.11 0.52 4.07 44.97
0.49 0.08 0.38 3.98 20.46
0.40 0.15 0.28 3.88 3.26
0.21 0.24 0.19 3.78 -15.62
0.05 0.27 0.16 3.66 -21.80
0.02 0.26 0.15 3.56 -22.29
0.10 0.23 0.16 3.47 -15.45
0.17 0.20 0.17 3.34 -6.05
0.26 0.18 0.18 3.24 3.45
0.27 0.15 0.19 3.11 13.76
0.19 0.17 0.21 3.00 24.14
0.15 0.18 0.24 2.88 35.88
0.16 0.18 0.27 2.76 50.25
0.20 0.22 0.29 2.64 63.03
0.25 0.21 0.31 2.49 75.83
0.36 0.22 0.32 2.33 89.68
0.41 0.22 0.33 2.19 103.33
0.38 0.17 0.34 2.04 116.90
0.44 0.20 0.34 1.85 129.75
0.41 0.23 0.34 1.68 140.22
1.14 0.30 0.33 1.49 160.14
1.50 0.27 0.19 1.26 151.07
1.70 0.21 -0.03 0.96 122.44
1.29 0.25 -0.30 -0.32 104.17
1.01 0.44 -0.45 -0.60 76.82
0.67 0.41 -0.55 -0.87 54.65
0.50 0.36 -0.59 -1.18 48.93
0.30 0.18 -0.59 -1.43 48.55
0.56 0.01 -0.60 -1.67 49.69
1.08 -0.08 -0.63 -1.91 53.41
1.19 -0.06 -0.68 -2.16 52.86
0.82 0.08 -0.71 -2.51 55.02
0.90 0.22 -0.72 -2.76 60.96
0.69 0.26 -0.72 -3.00 65.99
0.41 0.39 -0.70 -3.23 70.32
0.65 0.21 -0.70 -3.45 73.72
0.60 0.10 -0.75 -3.71 66.43
0.32 0.11 -0.82 -3.91 44.16
0.42 -0.01 -0.89 -4.10 22.88
0.42 0.18 -0.98 -4.30 -2.76
-0.01 0.69 -1.03 -4.45 -27.62
-0.33 0.43 -1.02 -4.59 -39.81
-0.30 0.32 -0.98 -4.68 -44.53
-0.50 0.33 -0.93 -4.73 -49.83
-0.44 0.45 -0.90 -4.76 -58.88
-0.35 0.29 -0.88 -4.77 -67.34
-0.12 0.17 -0.86 -4.75 -75.27
-0.40 -0.10 -0.85 -4.71 -87.92
-0.21 -0.28 -0.80 -4.66 -86.46
-0.05 -0.04 -0.69 -4.60 -64.97
-0.09 0.07 -0.58 -4.51 -42.87
-0.08 0.01 -0.47 -4.44 -19.47
-0.15 0.15 -0.33 -4.35 10.51
-0.09 0.20 -0.24 -4.27 31.81
0.05 0.22 -0.18 -4.18 46.21
0.04 0.19 -0.15 -4.08 51.73
0.12 0.15 -0.16 -4.01 50.58
0.01 0.11 -0.19 -3.94 40.48
0.02 0.12 -0.20 -3.85 34.25
0.03 0.13 -0.23 -3.78 23.76
0.06 0.16 -0.32 -3.71 -3.05
0.11 0.16 -0.43 -3.64 -33.66
0.17 0.17 -0.53 -3.57 -65.01
-0.29 0.19 -0.61 -3.45 -98.50
-0.43 0.14 -0.61 -3.35 -110.83
-0.62 0.12 -0.56 -3.23 -115.80
-0.79 0.16 -0.49 -3.09 -115.52
-0.72 0.21 -0.43 -2.89 -117.78
-0.91 0.22 -0.37 -2.71 -120.87
-1.28 0.18 -0.29 -2.50 -123.78
-1.12 0.12 -0.17 -2.28 -112.84
-0.92 0.18 -0.02 -1.94 -91.97
-0.75 0.18 0.10 0.25 -138.99
-0.51 0.17 0.22 0.49 -113.20
-0.29 0.14 0.30 0.72 -94.16
-0.38 0.19 0.32 1.00 -92.60
-0.88 0.00 0.36 1.23 -92.70
-1.10 -0.07 0.46 1.47 -82.25
-1.11 -0.09 0.57 1.71 -63.31
-0.82 0.05 0.69 2.06 -42.84
-0.68 0.16 0.73 2.30 -37.05
-0.64 0.06 0.74 2.53 -36.08
-0.60 0.13 0.77 2.75 -30.98
-0.30 0.10 0.79 2.96 -22.39
-0.06 0.13 0.79 3.18 -16.82
-0.04 0.25 0.78 3.35 -11.89
-0.01 0.39 0.77 3.50 -8.61
0.20 0.55 0.74 3.64 -6.06
0.53 0.00 0.64 3.73 -16.22
0.16 0.01 0.57 3.82 -28.80
-0.14 0.40 0.54 3.89 -32.54
-0.45 0.56 0.57 3.95 -24.72
-0.60 0.50 0.63 4.02 -15.13
-0.55 0.31 0.67 4.09 -4.22
-0.08 0.09 0.68 4.16 1.85
0.08 -0.08 0.61 4.20 -8.02
-0.20 -0.15 0.53 4.24 -28.18
-0.29 -0.09 0.47 4.27 -44.02
-0.45 0.09 0.45 4.31 -51.95
-0.46 0.21 0.46 4.36 -53.60
-0.41 0.24 0.47 4.40 -54.33
-0.39 0.19 0.45 4.44 -60.32
-0.36 0.18 0.45 4.48 -63.33
-0.31 0.14 0.50 4.53 -49.81
-0.27 0.07 0.56 4.57 -32.59
-0.15 0.18 0.62 4.60 -10.68
0.13 0.34 0.70 4.61 18.33
0.41 0.35 0.75 4.60 48.64
0.28 0.15 0.80 4.57 74.98
0.33 0.12 0.83 4.52 98.54
0.39 0.20 0.82 4.45 111.34
0.59 0.19 0.79 4.34 120.70
0.89 0.35 0.70 4.21 121.20
1.53 0.31 0.59 4.01 124.87
1.56 0.31 0.43 3.81 111.46
1.12 0.29 0.19 3.59 70.23
0.89 0.19 0.02 3.35 37.82
0.52 0.13 -0.13 -0.28 125.58
