=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.22 17:26:59 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
Gyro range set to: +- 500 deg/s
Filter bandwidth set to: 21 Hz

y_accel | z_accel | gyro_x | I_error | PID_PWM
-0.03 0.29 0.01 0.06 0.82
0.01 0.26 0.02 0.00 4.15
0.04 0.26 0.02 -0.00 5.36
0.09 0.27 0.02 -0.00 6.88
0.14 0.26 0.01 -0.01 8.39
0.18 0.27 0.01 -0.01 10.04
0.18 0.26 0.00 -0.02 11.48
0.17 0.27 -0.00 -0.02 12.47
0.16 0.26 -0.01 -0.03 12.98
0.15 0.26 -0.01 -0.02 13.41
0.15 0.29 -0.02 -0.03 14.17
0.13 0.28 -0.02 -0.03 14.00
0.11 0.26 -0.02 -0.04 14.38
0.11 0.25 -0.03 -0.03 13.41
0.15 0.26 -0.03 -0.03 13.48
0.17 0.26 -0.04 -0.03 13.49
0.20 0.25 -0.04 -0.04 13.38
0.21 0.24 -0.05 -0.05 13.50
0.23 0.24 -0.06 -0.04 12.91
0.26 0.25 -0.07 -0.06 12.94
0.24 0.27 -0.08 -0.05 11.32
0.22 0.29 -0.09 -0.05 9.91
0.15 0.30 -0.10 -0.06 7.77
0.06 0.30 -0.10 -0.11 6.40
0.01 0.28 -0.10 -0.15 5.38
-0.05 0.27 -0.10 -0.19 3.95
-0.12 0.29 -0.10 -0.22 2.11
-0.16 0.29 -0.09 -0.25 0.12
-0.16 0.30 -0.08 -0.03 -10.08
-0.13 0.28 -0.08 -0.01 -12.07
-0.13 0.26 -0.07 -0.01 -14.31
-0.12 0.24 -0.07 -0.00 -16.22
-0.13 0.23 -0.06 0.00 -17.89
-0.12 0.24 -0.06 0.01 -19.46
-0.11 0.24 -0.06 0.01 -20.87
-0.08 0.26 -0.05 0.01 -21.79
-0.09 0.25 -0.05 0.02 -23.00
-0.10 0.25 -0.05 0.02 -24.15
-0.11 0.24 -0.04 0.02 -24.93
-0.12 0.24 -0.04 0.02 -25.93
-0.12 0.24 -0.04 0.02 -26.69
-0.11 0.26 -0.03 0.03 -26.76
-0.09 0.28 -0.03 0.03 -27.28
-0.09 0.29 -0.03 0.03 -27.86
-0.07 0.30 -0.03 0.03 -27.93
-0.03 0.27 -0.03 0.03 -27.73
-0.01 0.25 -0.03 0.03 -27.52
0.00 0.26 -0.03 0.03 -27.37
0.01 0.26 -0.04 0.03 -27.81
0.01 0.25 -0.04 0.03 -28.07
-0.01 0.27 -0.04 0.03 -28.47
-0.04 0.27 -0.04 0.04 -29.54
-0.08 0.25 -0.04 0.03 -30.03
-0.14 0.25 -0.04 0.03 -31.47
-0.16 0.27 -0.04 0.03 -32.68
-0.18 0.27 -0.03 0.04 -33.81
-0.17 0.25 -0.03 0.05 -34.61
-0.15 0.26 -0.02 0.04 -34.88
-0.09 0.27 -0.02 0.04 -34.52
-0.07 0.25 -0.02 0.04 -34.66
-0.04 0.24 -0.02 0.05 -34.98
-0.01 0.26 -0.03 0.05 -34.95
-0.03 0.24 -0.03 0.04 -34.99
-0.07 0.25 -0.03 0.04 -36.02
-0.10 0.26 -0.03 0.04 -36.70
-0.14 0.24 -0.03 0.04 -37.68
-0.18 0.25 -0.03 0.06 -39.11
-0.18 0.25 -0.02 0.06 -39.39
-0.19 0.26 -0.02 0.05 -39.68
-0.17 0.26 -0.01 0.05 -40.28
-0.15 0.27 -0.01 0.07 -40.35
-0.14 0.26 -0.01 0.06 -40.21
-0.12 0.25 -0.01 0.06 -40.05
-0.09 0.26 -0.01 0.06 -39.68
-0.07 0.26 -0.01 0.05 -38.99
-0.01 0.26 -0.01 0.07 -38.71
0.03 0.27 -0.01 0.05 -37.30
0.05 0.28 -0.02 0.05 -36.27
0.05 0.28 -0.03 0.04 -35.87
0.04 0.27 -0.03 0.04 -36.18
0.01 0.26 -0.04 0.05 -36.78
-0.03 0.26 -0.04 0.04 -37.63
-0.06 0.28 -0.05 0.04 -38.53
-0.09 0.26 -0.05 0.04 -39.69
-0.09 0.26 -0.05 0.05 -40.55
-0.14 0.24 -0.05 0.05 -41.69
-0.16 0.24 -0.05 0.05 -43.13
-0.16 0.27 -0.04 0.05 -44.52
-0.16 0.27 -0.04 0.05 -45.95
-0.15 0.25 -0.04 0.06 -47.34
-0.15 0.25 -0.04 0.05 -47.96
-0.10 0.25 -0.04 0.07 -48.38
-0.05 0.25 -0.04 0.05 -47.67
-0.01 0.26 -0.05 0.05 -47.80
0.05 0.25 -0.06 0.06 -48.73
0.03 0.25 -0.06 0.05 -49.15
-0.04 0.25 -0.07 0.05 -51.12
-0.14 0.26 -0.08 0.05 -54.06
-0.24 0.26 -0.08 0.05 -57.09
-0.31 0.27 -0.07 0.08 -60.79
-0.34 0.26 -0.06 0.07 -62.04
-0.30 0.25 -0.05 0.07 -63.51
-0.24 0.27 -0.05 0.08 -64.59
-0.20 0.28 -0.05 0.08 -65.45
-0.14 0.28 -0.05 0.09 -66.21
-0.07 0.28 -0.05 0.08 -66.08
-0.03 0.25 -0.06 0.07 -66.27
-0.01 0.26 -0.07 0.07 -66.61
0.02 0.26 -0.07 0.08 -67.19
0.04 0.25 -0.09 0.08 -68.17
0.06 0.26 -0.10 0.06 -68.69
0.05 0.26 -0.11 0.12 -71.79
-0.00 0.25 -0.12 0.18 -75.89
-0.16 0.25 -0.12 0.26 -80.84
-0.40 0.23 -0.11 0.33 -85.17
-0.74 0.25 -0.07 0.43 -89.42
-0.63 0.25 0.00 0.10 -66.18
-0.23 0.15 0.06 0.10 -50.98
0.09 0.12 0.10 0.11 -32.91
0.22 0.15 0.10 0.19 -28.69
0.14 0.25 0.07 0.26 -33.80
-0.23 0.35 0.07 0.07 -29.61
-0.13 0.31 0.07 0.08 -27.96
-0.04 0.25 0.06 0.08 -28.82
0.13 0.22 0.03 0.06 -31.33
0.09 0.25 0.00 0.05 -35.08
-0.02 0.28 -0.01 0.05 -37.75
-0.16 0.30 -0.02 0.06 -42.59
-0.21 0.31 -0.03 0.06 -47.49
-0.22 0.31 -0.05 0.06 -52.94
-0.23 0.29 -0.06 0.06 -59.53
-0.32 0.29 -0.07 0.07 -65.85
-0.27 0.28 -0.08 0.10 -71.73
-0.35 0.29 -0.10 0.08 -82.05
-0.46 0.30 -0.11 0.17 -94.00
-0.52 0.28 -0.11 0.27 -103.62
-0.69 0.20 -0.08 0.41 -110.86
-1.01 0.20 -0.03 0.55 -115.05
-1.05 0.20 0.08 0.15 -81.21
-0.77 0.20 0.19 0.35 -65.99
-0.17 0.26 0.25 0.50 -48.94
0.07 0.32 0.25 0.67 -46.46
-0.25 0.37 0.28 0.81 -40.51
-0.29 0.34 0.34 0.94 -26.93
-0.00 0.22 0.35 1.06 -18.92
0.06 0.25 0.35 1.19 -16.30
0.04 0.31 0.36 1.29 -9.38
0.10 0.31 0.36 1.38 -3.27
0.05 0.28 0.35 1.46 -0.66
-0.02 0.26 0.33 1.52 -3.51
-0.03 0.26 0.30 1.59 -9.42
-0.36 0.29 0.30 1.64 -13.76
-0.44 0.27 0.31 1.70 -15.30
-0.18 0.25 0.30 1.76 -16.93
-0.17 0.25 0.29 1.82 -21.07
-0.17 0.30 0.29 1.89 -19.83
-0.11 0.29 0.30 1.94 -15.87
-0.18 0.28 0.31 1.98 -13.84
-0.01 0.24 0.31 2.02 -11.08
-0.03 0.23 0.30 2.06 -12.01
0.01 0.24 0.29 2.08 -9.78
0.20 0.24 0.28 2.10 -6.30
0.31 0.21 0.26 2.10 -5.17
0.43 0.24 0.24 2.09 0.14
0.54 0.25 0.23 2.05 8.42
0.54 0.29 0.20 2.01 13.38
0.60 0.32 0.18 1.94 20.62
0.60 0.32 0.15 1.87 23.01
0.48 0.30 0.10 1.78 19.98
0.41 0.29 0.08 1.67 22.00
0.36 0.28 0.05 -0.10 79.50
0.26 0.27 0.02 -0.12 74.42
0.24 0.25 0.01 -0.10 70.81
-0.01 0.25 -0.00 -0.10 64.49
-0.15 0.26 0.01 -0.11 61.29
-0.25 0.26 0.01 -0.08 54.54
-0.28 0.26 0.02 -0.07 49.18
-0.29 0.25 0.02 -0.06 44.24
-0.26 0.23 0.04 -0.05 41.18
-0.27 0.24 0.05 -0.05 39.50
-0.26 0.32 0.07 -0.03 39.69
-0.26 0.32 0.09 -0.02 40.61
-0.35 0.27 0.11 -0.02 41.25
-0.38 0.21 0.15 -0.02 45.80
-0.34 0.24 0.17 -0.03 48.39
-0.26 0.24 0.20 -0.02 52.01
-0.06 0.23 0.21 -0.02 56.11
0.10 0.22 0.20 -0.03 58.92
-0.08 0.21 0.20 -0.03 60.02
-0.41 0.22 0.23 -0.03 61.64
-0.46 0.22 0.25 -0.02 63.83
-0.19 0.22 0.26 -0.01 64.89
0.20 0.15 0.22 -0.01 58.60
0.51 0.16 0.16 -0.03 54.42
0.36 0.09 0.13 -0.06 54.16
0.27 0.27 0.10 -0.10 50.47
0.06 0.35 0.08 -0.13 46.70
-0.06 0.45 0.07 -0.03 41.08
-0.15 0.44 0.08 -0.03 41.52
-0.27 0.27 0.11 -0.03 43.35
-0.37 0.12 0.14 -0.04 47.62
-0.48 0.18 0.20 -0.04 57.16
-0.43 0.35 0.25 -0.04 67.48
-0.34 0.42 0.29 -0.03 74.01
-0.19 0.49 0.31 -0.02 79.34
0.16 0.42 0.29 -0.02 80.02
0.04 0.34 0.26 -0.03 75.33
0.15 0.33 0.27 -0.04 82.56
0.54 0.37 0.26 -0.07 91.95
0.47 0.35 0.22 -0.13 92.08
0.25 0.31 0.18 -0.18 89.24
0.13 0.29 0.15 -0.24 85.76
0.06 0.29 0.12 -0.30 77.89
0.22 0.09 0.07 -0.36 70.52
0.77 0.02 0.04 -0.09 62.40
0.85 -0.06 0.00 -0.09 64.01
0.45 -0.10 -0.01 -0.10 64.56
0.17 0.02 -0.03 -0.10 59.92
-0.12 0.25 -0.00 -0.09 61.58
-0.17 0.44 0.05 -0.12 71.19
-0.22 0.22 0.10 -0.08 78.01
-0.24 0.15 0.15 -0.14 88.42
-0.00 0.20 0.20 -0.21 104.66
0.74 0.53 0.23 -0.30 128.41
0.76 0.76 0.21 -0.42 137.02
0.93 0.58 0.18 -0.55 148.85
0.96 0.50 0.10 -0.69 145.59
0.87 0.43 0.01 -0.85 134.18
1.11 0.22 -0.09 -0.25 98.26
1.19 0.21 -0.23 -0.45 81.61
0.53 0.29 -0.33 -0.65 58.74
0.41 0.09 -0.37 -0.84 51.78
0.78 -0.17 -0.41 -1.03 50.31
0.63 -0.32 -0.43 -1.26 50.86
0.57 0.01 -0.45 -1.45 51.24
0.36 0.07 -0.46 -1.67 53.18
0.50 0.29 -0.43 -1.85 64.07
0.45 0.22 -0.47 -2.07 59.24
0.16 0.34 -0.46 -2.23 60.49
0.74 1.30 -0.48 -2.40 61.65
0.03 0.81 -0.54 -2.55 41.73
0.28 0.55 -0.53 -2.69 43.68
0.38 0.37 -0.56 -2.86 35.53
0.25 0.59 -0.58 -3.01 31.71
0.20 -0.07 -0.60 -3.13 23.59
0.30 -0.39 -0.58 -3.24 27.64
0.46 -0.33 -0.56 -3.37 35.85
-0.04 -0.15 -0.50 -3.46 46.47
0.53 -0.15 -0.45 -3.55 63.55
-0.15 -0.18 -0.49 -3.63 45.67
-0.21 0.25 -0.48 -3.69 38.36
-0.01 0.85 -0.45 -3.76 43.03
0.21 0.94 -0.49 -3.81 31.72
0.29 0.88 -0.51 -3.85 24.27
0.48 0.33 -0.58 -3.90 7.27
0.38 0.57 -0.62 -3.94 -3.33
